date	state	new_confirmed	new_deceased	new_recovered	new_tested	total_confirmed	total_deceased	total_recovered	total_tested
2020-04-20	NC	2271	144	0	30436	56244	1926	0	693515
2020-04-20	TN	2745	28	1145	53713	59877	1217	30117	920872
2020-04-20	KY	1096	61	337	15902	26018	1389	9439	285061
2020-04-20	ID	181	10	398	2579	12975	383	5747	133599
2020-04-20	HI	22	6	74	4835	4147	93	3192	188590
2020-04-20	NV	878	56	0	6466	30509	1379	0	252091
2020-04-20	WV	170	11	165	20884	7016	222	2828	221383
2020-04-20	TX	5839	168	5464	100123	159716	4148	62927	1719161
2020-04-20	WA	1703	110	0	28379	92461	5098	0	1249843
2020-04-20	ND	315	6	161	7687	5392	109	1983	126856
2020-04-20	CA	11346	577	0	262909	285808	11116	0	3327225
2020-04-20	AL	1461	64	0	28097	41968	1453	0	421514
